"provision_id","source_id","article","paragraph","point","heading","stable_pinpoint","cross_references","definitions_required","recitals_required"
"LAW-EU-2025-0327-A078-P03-PTB","LAW-EU-2025-0327","78","3","b","Technical quality","Article 78(3)(b)","NONE_IDENTIFIED","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P03-PTC","LAW-EU-2025-0327","78","3","c","Quality-management maturity","Article 78(3)(c)","NONE_IDENTIFIED","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P03-PTD","LAW-EU-2025-0327","78","3","d","Coverage and representativity","Article 78(3)(d)","NONE_IDENTIFIED","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P03-PTE","LAW-EU-2025-0327","78","3","e","Access and provision timing","Article 78(3)(e)","LAW-EU-2025-0327-A068-P03-S01; LAW-EU-2025-0327-A069-P01-S01; LAW-EU-2025-0327-A069-P04","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P03-PTF","LAW-EU-2025-0327","78","3","f","Data modifications and linkage","Article 78(3)(f)","NONE_IDENTIFIED","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P04-SP01","LAW-EU-2025-0327","78","4","","Accuracy-triggered assessment","Article 78(4), assessment clause","LAW-EU-2025-0327-A078-P03-PTA through LAW-EU-2025-0327-A078-P03-PTF; LAW-EU-2025-0327-A060-P04","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P04-SP02","LAW-EU-2025-0327","78","4","","Revocation after failed assessment","Article 78(4), revocation clause","LAW-EU-2025-0327-A078-P03-PTA through LAW-EU-2025-0327-A078-P03-PTF; LAW-EU-2025-0327-A099-SP01","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P05","LAW-EU-2025-0327","78","5","","Delegated power to alter label elements","Article 78(5)","LAW-EU-2025-0327-A097-P01 through LAW-EU-2025-0327-A097-P06","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P06-S01","LAW-EU-2025-0327","78","6","","Implementing-act mandate and deadline","Article 78(6), sentence 1","LAW-EU-2025-0327-A078-P03-PTA through LAW-EU-2025-0327-A078-P03-PTF; LAW-EU-2025-0327-A105-SP05; LAW-EU-2025-0327-A105-SP07","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P06-S02","LAW-EU-2025-0327","78","6","","Examination procedure","Article 78(6), sentence 2","LAW-EU-2025-0327-A098-P02","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2025-0327-A078-P06-S03","LAW-EU-2025-0327","78","6","","AI requirements and standards consideration","Article 78(6), sentence 3","LAW-EU-2024-1689-A010-P01 through LAW-EU-2024-1689-A010-P06; LAW-EU-2024-1689-A040-P01 through LAW-EU-2024-1689-A042-P01; LAW-EU-2024-1689-AN04-PT02D; LAW-EU-2024-1689-AN04-PT02G","LAW-EU-2025-0327-A002-P02-PTA; LAW-EU-2025-0327-A002-P02-PTB; LAW-EU-2025-0327-A002-P02-PTC; LAW-EU-2025-0327-A002-P02-PTE; LAW-EU-2025-0327-A002-P02-PTT-SPI; LAW-EU-2025-0327-A002-P02-PTT-SPII; LAW-EU-2025-0327-A002-P02-PTV; LAW-EU-2025-0327-A002-P02-PTW; LAW-EU-2025-0327-A002-P02-PTY; LAW-EU-2025-0327-A002-P02-PTZ; LAW-EU-2025-0327-A002-P02-PTAA","LAW-EU-2025-0327-R085; LAW-EU-2025-0327-R086; LAW-EU-2025-0327-R104; LAW-EU-2025-0327-R105; LAW-EU-2025-0327-R115"
"LAW-EU-2023-2854-A033-P01-PTA","LAW-EU-2023-2854","33","1","a","Dataset description","Article 33(1)(a)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P01-PTB","LAW-EU-2023-2854","33","1","b","Structures and semantic resources","Article 33(1)(b)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P01-PTC","LAW-EU-2023-2854","33","1","c","Access means terms and quality of service","Article 33(1)(c)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P01-PTD","LAW-EU-2023-2854","33","1","d","Automated agreement-tool interoperability","Article 33(1)(d)","LAW-EU-2023-2854-A002-PT39","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P01-SP02","LAW-EU-2023-2854","33","1","","Sectoral and legal-interrelation qualifier","Article 33(1), final subparagraph","LAW-EU-2023-2854-A044-P02; LAW-EU-2023-2854-A044-P03","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P02-SP01","LAW-EU-2023-2854","33","2","","Delegated specification power","Article 33(2), first subparagraph","LAW-EU-2023-2854-A045-P02 through LAW-EU-2023-2854-A045-P06","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P02-SP02","LAW-EU-2023-2854","33","2","","EDIB advice","Article 33(2), second subparagraph","LAW-EU-2023-2854-A042-PTC-SPIII","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P03","LAW-EU-2023-2854","33","3","","Harmonised-standard presumption","Article 33(3)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P04","LAW-EU-2023-2854","33","4","","Standardisation request","Article 33(4)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P05-SP01","LAW-EU-2023-2854","33","5","","Common-specification power and cumulative trigger","Article 33(5), first-subparagraph chapeau","LAW-EU-2023-2854-A033-P05-PTA-SPI; LAW-EU-2023-2854-A033-P05-PTA-SPII; LAW-EU-2023-2854-A033-P05-PTA-SPIII; LAW-EU-2023-2854-A033-P05-PTB","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P05-PTA-SPI","LAW-EU-2023-2854","33","5","a(i)","Unaccepted standardisation request","Article 33(5)(a)(i)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P05-PTA-SPII","LAW-EU-2023-2854","33","5","a(ii)","Standard not delivered by deadline","Article 33(5)(a)(ii)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P05-PTA-SPIII","LAW-EU-2023-2854","33","5","a(iii)","Standard does not comply with request","Article 33(5)(a)(iii)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P05-PTB","LAW-EU-2023-2854","33","5","b","No OJ reference or expected reference","Article 33(5)(b)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P05-SP02","LAW-EU-2023-2854","33","5","","Examination procedure","Article 33(5), second subparagraph","LAW-EU-2023-2854-A046-P02","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
