"statement_id","provision_id","source_excerpt_max_25_words","modality","modality_strength","addressee_actor","addressee_legal_role","action","governed_object","object_granularity","beneficiary_or_right_holder","purpose","trigger_conditions","cumulative_or_alternative_conditions","exceptions_derogations","required_information","required_form_or_format","required_control","required_evidence","supervisory_or_decision_actor","consequence_or_remedy","cross_instrument_dependency"
"REQ-DATA-033-009","LAW-EU-2023-2854-A033-P04","The Commission shall, pursuant to Article 10 of Regulation (EU) No 1025/2012, request one or more European standardisation organisations to draft harmonised standards","OBLIGATION","MANDATORY_STANDARDISATION_REQUEST","ACT-EU-COMMISSION","Commission authority issuing an Article 10 standardisation request.","Request harmonised standards satisfying Article 33(1) essential requirements.","OBJ-STANDARDISATION-REQUEST-0001","Commission request and the requirement coverage assigned to standardisation organisations.","ACT-DATA-EUROPEAN-STANDARDISATION-ORGANISATION","Develop a harmonised-standards route for Article 33 interoperability.","Article 33(4) mandate; execution follows Regulation (EU) No 1025/2012 Article 10.","Request one OR more recognised European standardisation organisations; request must target paragraph 1 requirements.","A request or accepted work programme is not itself a harmonised standard and creates no Article 33(3) presumption.","Requested requirements, deliverables, deadline, recognised organisations and acceptance status.","Formal standardisation request under Regulation (EU) No 1025/2012 Article 10.","Request legal-basis, acceptance, delivery, compliance and OJ-citation status register.","Commission request, acceptance evidence, work programme and delivery records.","ACT-EU-COMMISSION","Failure outcomes may contribute to the Article 33(5) fallback triggers, but those triggers require separate cumulative assessment.","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-010","LAW-EU-2023-2854-A033-P05-SP01","The Commission may, by means of implementing acts, adopt common specifications covering any or all of the essential requirements","POWER","DISCRETIONARY_POWER_AFTER_CUMULATIVE_FALLBACK","ACT-EU-COMMISSION","Commission implementing authority for the exceptional common-specification route.","Adopt a common specification covering some or all Article 33(1) requirements.","OBJ-COMMON-SPECIFICATION-0001","Implementing act, specification part and covered essential requirement.","NOT_APPLICABLE","Provide a binding fallback when the harmonised-standard route has failed or is unavailable under the statutory conditions.","One Article 33(5)(a)(i)-(iii) standardisation failure AND Article 33(5)(b) no-citation/no-reasonable-expectation condition.","[(a)(i) OR (a)(ii) OR (a)(iii)] AND (b); adoption remains discretionary and uses the examination procedure.","Common specifications are an exceptional fallback; accepted standardisation work or mere absence of a current citation does not alone prove the full trigger.","Request status, delivery deadline, delivered-standard compliance, OJ-citation status, reasonable-period expectation and requirements covered.","Commission implementing act containing common specifications.","Cumulative-trigger decision tree, evidence date, consultation and examination-procedure checklist.","Standardisation-request file, OJ search, expectation assessment, consultation dossier, committee record and adopted act.","ACT-EU-COMMISSION","Only an adopted applicable act creates a common specification or supports the paragraph 8 presumption.","LAW-EU-2023-2854-A033-P05-PTA-SPI; LAW-EU-2023-2854-A033-P05-PTA-SPII; LAW-EU-2023-2854-A033-P05-PTA-SPIII; LAW-EU-2023-2854-A033-P05-PTB; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-011","LAW-EU-2023-2854-A033-P05-PTA-SPI","the request has not been accepted","CONDITION","ALTERNATIVE_TRIGGER_LIMB","ACT-EU-COMMISSION","Commission assessing availability of the common-specification fallback.","The relevant standardisation request has not been accepted.","OBJ-STANDARDISATION-REQUEST-0001","Relevant request and requirement coverage.","NOT_APPLICABLE","Bound the fallback route to a verified request-acceptance failure.","A relevant Article 10(1) request was made and its acceptance status is assessed.","This limb is alternative to (a)(ii) and (a)(iii), but any selected limb remains cumulative with paragraph 5(b).","M/614 was accepted on 2025-07-07, so the non-acceptance condition was not satisfied for that request at the cut-off. Acceptance does not determine the other alternative failure limbs.","Request identifier, addressees, acceptance decision and date.","Acceptance-status finding.","Authoritative acceptance evidence and requirement-scope matching.","Request and formal acceptance or rejection evidence.","ACT-EU-COMMISSION","If this limb and paragraph 5(b) hold, the Commission may consider the common-specification route; no automatic adoption follows.","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-012","LAW-EU-2023-2854-A033-P05-PTA-SPII","the harmonised standards addressing that request are not delivered within the deadline","CONDITION","ALTERNATIVE_TRIGGER_LIMB","ACT-EU-COMMISSION","Commission assessing availability of the common-specification fallback.","Determine and document whether requested standards were delivered by the applicable deadline.","OBJ-STANDARDISATION-REQUEST-0001","Each requested deliverable and deadline.","NOT_APPLICABLE","Bound the fallback route to a verified delivery failure.","The request was accepted and its delivery deadline and deliverables are identifiable.","This limb is alternative to (a)(i) and (a)(iii), but any selected limb remains cumulative with paragraph 5(b).","Before the delivery deadline, non-delivery does not satisfy this limb.","Request deadline, deliverable list, submission date and completeness.","Documented delivery-status finding tied to the formal request.","Deadline calculation, delivery receipt and scope-completeness check.","Formal request, deadline, delivery or non-delivery record.","ACT-EU-COMMISSION","If this limb and paragraph 5(b) hold, the Commission may consider the common-specification route; no automatic adoption follows.","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-013","LAW-EU-2023-2854-A033-P05-PTA-SPIII","the harmonised standards do not comply with the request","CONDITION","ALTERNATIVE_TRIGGER_LIMB","ACT-EU-COMMISSION","Commission assessing delivered standards and fallback eligibility.","The harmonised standards delivered in response to the request do not comply with that request.","OBJ-HARMONISED-STANDARD-0001","Delivered standard or part mapped to the request.","NOT_APPLICABLE","Bound the fallback route to a verified substantive failure of the standardisation output.","A requested standard has been delivered and can be assessed against the request.","This limb is alternative to (a)(i) and (a)(ii), but any selected limb remains cumulative with paragraph 5(b).","At the 2026-07-17 cut-off M/614 remained under execution and no completed deliverables had been assessed against the request, so this condition was not applicable.","Request requirements, delivered clauses, coverage, deviations and assessment conclusion.","Clause-to-request comparison and assessment outcome.","Version integrity, requirement traceability and reasoned assessment approval.","Delivered standard, formal request and Commission assessment.","ACT-EU-COMMISSION","If this limb and paragraph 5(b) hold, the Commission may consider the common-specification route; no automatic adoption follows.","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-014","LAW-EU-2023-2854-A033-P05-PTB","no reference to harmonised standards covering the relevant essential requirements laid down in paragraph 1 of this Article is published in the Official Journal","CONDITION","CUMULATIVE_ABSENCE_AND_EXPECTATION_TRIGGER","ACT-EU-COMMISSION","Commission assessing availability of the common-specification fallback.","No reference to a harmonised standard covering the relevant Article 33(1) requirements has been published in the Official Journal and no such reference is expected within a reasonable period.","OBJ-HARMONISED-STANDARD-0001","Relevant essential requirement and potential OJ-cited standard coverage.","NOT_APPLICABLE","Prevent fallback common specifications while a covering harmonised-standard citation exists or is expected within a reasonable period.","A specific set of Article 33(1) requirements is proposed for common-specification coverage.","No covering OJ reference AND no such reference expected within a reasonable period; this paragraph 5(b) limb is also cumulative with one paragraph 5(a) limb.","At the cut-off no covering OJ reference was identified, but M/614 remained under execution and the record did not establish whether a resulting reference was expected within a reasonable period.","Relevant requirements, OJ search results and documented standardisation and expected-citation status.","Dated OJ evidence and documented status of any expected citation.","Authoritative OJ search, coverage mapping and current standardisation-status evidence.","OJ search record and documented standardisation and expected-citation status.","ACT-EU-COMMISSION","Without both absence and no-reasonable-expectation findings, Article 33(5) common-specification adoption is not available.","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-015","LAW-EU-2023-2854-A033-P05-SP02","Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 46(2).","PROCEDURE","MANDATORY_ADOPTION_PROCEDURE","ACT-EU-COMMISSION","Commission implementing authority using the Data Act examination procedure.","Use the Article 46(2) examination procedure when adopting common specifications.","OBJ-COMMON-SPECIFICATION-0001","Adoption procedure for each Article 33(5) implementing act.","NOT_APPLICABLE","Subject fallback specifications to the prescribed Member-State committee control.","All Article 33(5) triggers are satisfied and the Commission proceeds to adopt a common-specification act.","Article 46(2) incorporation AND Regulation (EU) No 182/2011 Article 5 examination steps.","No alternative procedure is provided for an Article 33(5) implementing act.","Legal basis, committee opinion, voting outcome and adopted act.","Examination procedure under Article 46(2) and Regulation (EU) No 182/2011 Article 5.","Procedure checklist and committee-record verification.","Committee dossier, opinion or voting record, adopted text and publication record.","ACT-EU-COMMISSION","A procedural defect can affect validity and requires qualified legal assessment.","LAW-EU-2023-2854-A046-P02; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-016","LAW-EU-2023-2854-A033-P06","the Commission shall inform the committee referred to in Article 22 of Regulation (EU) No 1025/2012","PROCEDURE","MANDATORY_PRE_DRAFT_NOTIFICATION","ACT-EU-COMMISSION","Commission preparing a draft common-specification implementing act.","Notify the Article 22 committee of the Commission's fallback-condition conclusion before drafting.","OBJ-COMMON-SPECIFICATION-0001","Pre-draft notification for one proposed implementing act.","ACT-DATA-STANDARDISATION-COMMITTEE","Coordinate the exceptional fallback with the Union standardisation process.","The Commission intends to prepare an Article 33(5) draft and considers paragraph 5 conditions fulfilled.","Commission conclusion on all paragraph 5 conditions AND committee notification BEFORE draft preparation.","Informal consultation after drafting does not satisfy the express sequencing requirement.","Proposed requirements, trigger assessment, notification date and committee recipient.","Documented notice to the Article 22 committee.","Sequence check, recipient identity and trigger-assessment attachment.","Dated notification, delivery evidence and underlying paragraph 5 assessment.","ACT-DATA-STANDARDISATION-COMMITTEE","Missing or late notice may affect procedural legality and requires qualified review.","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-017","LAW-EU-2023-2854-A033-P07-S01","the Commission shall take into account the advice of the EDIB and views of other relevant bodies or expert groups","OBLIGATION","MANDATORY_CONSIDERATION_DUTY","ACT-EU-COMMISSION","Commission preparing a draft Article 33(5) common-specification implementing act.","Take account of the specified EDIB advice and other relevant expert or institutional views.","OBJ-COMMON-SPECIFICATION-0001","Advice and views relating to one draft implementing act.","ACT-DATA-EDIB","Ensure relevant institutional and technical expertise informs fallback common specifications.","The Commission prepares a draft implementing act under Article 33(5).","EDIB advice considered AND views of other relevant bodies or expert groups considered.","The distinct duty to consult all relevant stakeholders is recorded in REQ-DATA-033-024.","Draft identifier, EDIB advice, relevant-body or expert-group views and available evidence that they were considered.","No documentary form or prescribed weight or outcome is specified by Article 33(7).","Link the relevant inputs to the draft-preparation process without treating receipt or listing alone as conclusive.","Available advice, submitted views, meeting records, draft history or other evidence showing consideration.","ACT-EU-COMMISSION","Failure to take required inputs into account may affect procedural legality and requires qualified review.","LAW-EU-2022-0868-A030-PTH; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-018","LAW-EU-2023-2854-A033-P08","meet the common specifications established by implementing acts referred to in paragraph 5 or parts thereof shall be presumed to be in conformity","RIGHT","LIMITED_REBUTTABLE_PRESUMPTION","ACT-DATA-COMPETENT-AUTHORITY","Decision-maker assessing an offering participant's Article 33 conformity.","A participant whose offering meets an applicable common specification is presumed to conform only with the Article 33(1) requirements covered by that specification or the relevant part thereof.","OBJ-COMMON-SPECIFICATION-0001","Common-specification part mapped to a specific Article 33(1) requirement.","ACT-DATA-DATA-SPACE-PARTICIPANT","Provide a legally bounded common-specification route to presumed conformity.","A valid Article 33(5) act establishes the specification; the offering meets it; the asserted requirement is covered.","Applicable adopted act AND meeting specification AND requirement coverage; presumption limited to covered parts.","A standardisation request, draft, non-Article 33 specification and uncovered requirement does not activate the presumption.","Implementing-act identifier; applicable version; covered clauses; requirement map; evidence of meeting the specification.","Adopted implementing act plus traceable conformance and coverage evidence.","Formal-status, applicability, version, scope and coverage verification.","Adopted act, conformance evidence and clause-to-requirement matrix.","ACT-DATA-COMPETENT-AUTHORITY","Presumption applies only to covered requirements; all other requirements remain independently assessable.","LAW-EU-2023-2854-A033-P05-SP01; LAW-EU-2023-2854-A033-P05-SP02; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-019","LAW-EU-2023-2854-A033-P09-S02","the Commission shall repeal the implementing acts referred to in paragraph 5 of this Article, or parts thereof","OBLIGATION","OJ_PUBLICATION_TRIGGERED_REPEAL","ACT-EU-COMMISSION","Commission maintaining common-specification implementing acts after harmonised-standard citation.","Repeal the Article 33(5) implementing acts or parts that cover the same essential requirements as the cited harmonised standard.","OBJ-COMMON-SPECIFICATION-0001","Each implementing act or part overlapping the cited standard's essential-requirement coverage.","NOT_APPLICABLE","Remove overlapping fallback specifications after the harmonised-standard route becomes operative.","The harmonised standard's reference is published in the Official Journal of the European Union.","Qualifying Official Journal publication AND same-essential-requirement overlap AND repeal to the extent of that overlap.","No repeal follows from a proposal or assessment alone; non-overlapping act provisions remain unaffected.","Official Journal reference, standard scope, essential-requirement coverage, affected implementing acts and overlapping parts.","Formal repeal of the overlapping implementing act provisions.","Verify publication, legal identity, version, clause-to-requirement overlap, repeal scope and temporal sequence.","Official Journal citation, coverage matrix, affected-act inventory and repeal act.","ACT-EU-COMMISSION","Overlapping common-specification provisions must be repealed; remaining provisions and prior-period effects require transition analysis.","LAW-EU-2023-2854-A033-P09-S01; LAW-EU-2023-2854-A033-P05-SP01; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-020","LAW-EU-2023-2854-A033-P10-S01","it shall inform the Commission thereof by submitting a detailed explanation.","OBLIGATION","CONDITIONAL_MANDATORY_NOTIFICATION","ACT-DATA-MEMBER-STATE","Member State evaluating whether an adopted Article 33 common specification entirely satisfies the essential requirements.","Inform the Commission by submitting a detailed explanation.","OBJ-COMMON-SPECIFICATION-0001","The challenged common specification and the Article 33(1) requirements alleged not to be entirely satisfied.","ACT-EU-COMMISSION","Bring a potentially insufficient common specification to the Commission for formal assessment.","A Member State considers that a common specification does not entirely satisfy the essential requirements in Article 33(1).","Member-State insufficiency conclusion AND Commission notification AND a detailed explanation.","The notification duty does not arise without the Member State's insufficiency conclusion.","Identified common specification, affected Article 33(1) requirements, reasons for insufficiency and supporting facts.","Submission to the Commission in the form of a detailed explanation.","Verify Member-State authority, specification identity, requirement coverage, explanation completeness and transmission.","Dated notification, detailed explanation, supporting material and proof of submission.","ACT-EU-COMMISSION","A qualifying notification triggers the Commission assessment duty recorded in REQ-DATA-033-022.","LAW-EU-2023-2854-A033-P01-PTA; LAW-EU-2023-2854-A033-P01-PTB; LAW-EU-2023-2854-A033-P01-PTC; LAW-EU-2023-2854-A033-P01-PTD; LAW-EU-2023-2854-A033-P05-SP01; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-021","LAW-EU-2023-2854-A033-P11","The Commission may adopt guidelines taking into account the proposal of the EDIB in accordance with Article 30, point (h), of Regulation (EU) 2022/868","POWER","DISCRETIONARY_GUIDANCE_POWER","ACT-EU-COMMISSION","Commission guidance authority under Article 33(11).","Adopt guidelines laying down interoperable frameworks for common data-space standards and practices.","OBJ-GUIDELINE-0001","Guideline instrument, framework or addressed data-space practice.","ACT-DATA-DATA-SPACE-PARTICIPANT","Support coherent functioning of common European data spaces.","The Commission elects to act and an EDIB proposal under Regulation (EU) 2022/868 Article 30(h) is available for consideration.","Guidelines are discretionary; EDIB proposal must be taken into account; framework concerns common standards and practices.","Guidelines do not themselves replace Article 33 binding requirements, delegated acts, common specifications or OJ-cited standards.","EDIB proposal, framework scope, common standards and practices, target data spaces and legal-status statement.","Commission guidelines.","Proposal provenance, non-binding-status clarity, scope and consistency with binding law.","EDIB proposal, adopted guideline and publication record.","ACT-EU-COMMISSION","Guidelines may inform implementation but cannot alone create a conformity presumption or displace binding law.","LAW-EU-2022-0868-A030-PTH; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-022","LAW-EU-2023-2854-A033-P10-S02","The Commission shall assess that detailed explanation","REVIEW_DUTY","MANDATORY_ASSESSMENT","ACT-EU-COMMISSION","Commission authority receiving and assessing a Member State's Article 33(10) explanation.","Assess the detailed explanation.","OBJ-COMMON-SPECIFICATION-0001","The Member-State explanation and the challenged common specification's coverage of Article 33(1) requirements.","ACT-DATA-MEMBER-STATE","Determine whether the challenged common specification entirely satisfies the applicable essential requirements.","The Commission receives the detailed explanation submitted under Article 33(10).","Qualifying Member-State notification AND detailed explanation AND Commission assessment.","No automatic amendment follows merely from receipt; the assessment duty is distinct from the discretionary power in REQ-DATA-033-023.","Member-State explanation, challenged specification, applicable Article 33(1) requirements and supporting material.","A documented Commission assessment adequate to support the ensuing appropriateness decision.","Verify receipt, completeness, relevant requirement coverage, evidence evaluation and reasoned conclusion.","Submitted explanation, assessment record, supporting evidence and conclusion.","ACT-EU-COMMISSION","The assessment informs whether the Commission may amend the establishing implementing act under REQ-DATA-033-023.","LAW-EU-2023-2854-A033-P10-S01; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-023","LAW-EU-2023-2854-A033-P10-S03","may, if appropriate, amend the implementing act establishing the common specification in question.","POWER","DISCRETIONARY_REMEDIAL_POWER","ACT-EU-COMMISSION","Commission authority deciding whether to amend the implementing act establishing the challenged common specification.","Amend the implementing act establishing the common specification where appropriate.","OBJ-COMMON-SPECIFICATION-0001","The establishing implementing act or affected part of the challenged common specification.","ACT-DATA-MEMBER-STATE","Correct a common specification when the Commission's assessment supports amendment.","The Commission has assessed the detailed explanation and considers amendment appropriate.","Completed assessment AND appropriateness finding; exercise of the amendment power remains discretionary.","Article 33(10) creates no automatic amendment duty when amendment is not considered appropriate.","Assessment findings, affected implementing-act provisions, revised specification content and reasons for amendment.","An amending implementing act following the applicable Article 33(5) procedure.","Verify assessment completion, legal basis, appropriateness reasoning, procedure, scope, versioning and publication.","Assessment record, appropriateness decision, draft and adopted amending act, and publication record.","ACT-EU-COMMISSION","An adopted amendment changes the applicable common specification; a decision not to amend leaves the existing act in force subject to other lawful action.","LAW-EU-2023-2854-A033-P10-S02; LAW-EU-2023-2854-A033-P05-SP01; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-024","LAW-EU-2023-2854-A033-P07-S02","shall duly consult all relevant stakeholders.","OBLIGATION","MANDATORY_STAKEHOLDER_CONSULTATION","ACT-EU-COMMISSION","Commission preparing and consulting on a draft Article 33(5) common-specification implementing act.","Duly consult all relevant stakeholders.","OBJ-COMMON-SPECIFICATION-0001","Stakeholder consultation process for one draft implementing act.","ACT-DATA-RELEVANT-STAKEHOLDER","Ensure affected interests and implementation realities inform fallback common specifications.","The Commission prepares a draft implementing act under Article 33(5).","All relevant stakeholders identified AND given a due opportunity to participate in the consultation.","No express exception; relevance and due consultation remain context-sensitive terms.","Draft identifier, relevant-stakeholder criteria, stakeholder population, consultation method, notice, timing and participation records.","Documented consultation process.","Verify relevance criteria, stakeholder coverage, accessibility, timing, participation evidence and draft linkage.","Stakeholder map, consultation notice, submissions or meeting records, and draft history.","ACT-EU-COMMISSION","Inadequate consultation may affect procedural legality and requires qualified review.","LAW-EU-2023-2854-A033-P07-S01; LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"REQ-DATA-033-025","LAW-EU-2023-2854-A033-P09-S01","the Commission shall assess the harmonised standard in accordance with Regulation (EU) No 1025/2012.","REVIEW_DUTY","MANDATORY_STANDARD_ASSESSMENT","ACT-EU-COMMISSION","Commission assessing a harmonised standard proposed for Official Journal citation.","Assess the proposed harmonised standard in accordance with Regulation (EU) No 1025/2012.","OBJ-HARMONISED-STANDARD-0001","One adopted harmonised standard proposed to the Commission for Official Journal citation.","ACT-DATA-DATA-SPACE-PARTICIPANT","Determine whether the proposed standard supports the essential requirements and may proceed toward Official Journal citation.","A European standardisation organisation adopts the harmonised standard and proposes it to the Commission for publication of its reference.","Adoption by a European standardisation organisation AND proposal for Official Journal citation AND Commission assessment under Regulation (EU) No 1025/2012.","The assessment duty is distinct from the repeal duty that arises only after qualifying publication, recorded in REQ-DATA-033-019.","Standard text and version, standardisation request, proposal, essential-requirement coverage and Regulation (EU) No 1025/2012 assessment criteria.","Documented Commission assessment in the applicable standardisation procedure.","Verify proposer authority, adoption and proposal status, request conformity, requirement coverage, version and reasoned assessment.","Adopted standard, proposal record, standardisation request, coverage matrix and Commission assessment.","ACT-EU-COMMISSION","The assessment determines the Commission's citation path; repeal of overlapping common specifications requires later Official Journal publication.","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43; LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
