"standard_element_id","standard_id","version","formal_status","namespace","class_or_property","human_label","normative_definition","domain","range","cardinality","controlled_vocabulary","normative_or_informative","validation_artifact","intended_capability","known_limit","source_pinpoint"
"EL-DCAT-DataService-endpointURL","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:endpointURL","endpoint URL","The root location or primary endpoint of a service expressed as an IRI.","dcat:DataService","rdfs:Resource","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Identify the technical service endpoint used for automated access.","Endpoint reachability authentication and quality of service are not established.","DCAT 3 §6.9 Property: endpoint URL; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:data_service_endpoint_url"
"EL-DCAT-DataService-endpointDescription","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:endpointDescription","endpoint description","A description of services available through endpoints including operations and parameters.","dcat:DataService","rdfs:Resource","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Link machine- or human-readable interface documentation.","DCAT does not prescribe an API-description language or completeness test.","DCAT 3 §6.9 Property: endpoint description; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:data_service_endpoint_description"
"EL-DCAT-DataService-servesDataset","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/dcat#","dcat:servesDataset","serves dataset","Relates a data service to a dataset that it can distribute.","dcat:DataService","dcat:Dataset","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Identify which dataset an access service exposes.","Does not prove that all versions or distributions of the dataset are served.","DCAT 3 §6.9 Property: serves dataset; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:data_service_serves_dataset"
"EL-DCAT-Resource-accessRights","STD-DCAT-3","3","INTERNATIONAL_STANDARD — W3C Recommendation","http://purl.org/dc/terms/","dct:accessRights","access rights","Information about who may access a resource or an indication of its security status.","dcat:Resource","dct:RightsStatement","UNCONSTRAINED_BY_DCAT_3","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","State high-level public restricted or non-public access conditions.","A supplied statement does not prove the legal basis correctness or enforceability of access restrictions.","DCAT 3 §6.4 Property: access rights; https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/#Property:resource_access_rights"
"EL-DCATAP-Dataset-title","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://purl.org/dc/terms/","dct:title","Dataset title","A name given to the dataset; repeatable for parallel language versions.","dcat:Dataset","rdfs:Literal","1..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Provide the mandatory human-readable dataset name.","A title alone does not describe source scope characteristics nature or conditions of availability.","DCAT-AP 3.0.1 §Dataset — title row (dct:title)"
"EL-DCATAP-Dataset-description","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://purl.org/dc/terms/","dct:description","Dataset description","A free-text account of the dataset; repeatable for parallel language versions.","dcat:Dataset","rdfs:Literal","1..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Provide a mandatory general dataset account.","The property can contain legally relevant information in free text, but by itself does not make each required information item separately identifiable or testable and does not distinguish omission from non-applicability. This is a limitation of the selected mapping function, not a prohibition on the property's content.","DCAT-AP 3.0.1 §Dataset — description row (dct:description)"
"EL-DCATAP-Dataset-accessRights","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://purl.org/dc/terms/","dct:accessRights","Dataset access rights","Information indicating whether a dataset is public restricted or non-public.","dcat:Dataset","dct:RightsStatement","0..1","http://publications.europa.eu/resource/authority/access-right","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/mdr-vocabularies.shape.ttl","Classify dataset accessibility using the EU access-right authority table.","Optional in base DCAT-AP and too coarse to express detailed conditions or authorization.","DCAT-AP 3.0.1 §Dataset — access rights row (dct:accessRights)"
"EL-DCATAP-Dataset-applicableLegislation","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://data.europa.eu/r5r/","dcatap:applicableLegislation","Dataset applicable legislation","Legislation mandating creation or management of the dataset.","dcat:Dataset","eli:LegalResource","0..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Link a dataset description to legislation relevant to its creation or management.","The property scope is narrower than every law that may apply and assertion does not prove legal applicability or compliance.","DCAT-AP 3.0.1 §Dataset — applicable legislation row (dcatap:applicableLegislation)"
"EL-DCATAP-Dataset-language","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://purl.org/dc/terms/","dct:language","Dataset language","A language of the dataset; repeatable where the dataset has multiple languages.","dcat:Dataset","dct:LinguisticSystem","0..*","http://publications.europa.eu/resource/authority/language","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/mdr-vocabularies.shape.ttl","Identify languages of dataset content.","Does not by itself record the language coverage of every metadata field or satisfy translation obligations.","DCAT-AP 3.0.1 §Dataset — language row (dct:language)"
"EL-DCATAP-DataService-title","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://purl.org/dc/terms/","dct:title","Data Service title","A name given to the data service; repeatable for parallel language versions.","dcat:DataService","rdfs:Literal","1..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Provide the mandatory service name.","Does not describe operations access conditions or service quality.","DCAT-AP 3.0.1 §Data Service — title row (dct:title)"
"EL-DCATAP-DataService-endpointURL","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://www.w3.org/ns/dcat#","dcat:endpointURL","Data Service endpoint URL","The root location or primary endpoint of the service expressed as an IRI.","dcat:DataService","rdfs:Resource","1..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Require at least one service endpoint for automated access metadata.","Does not test reachability authentication rate limits latency availability or transmitted formats.","DCAT-AP 3.0.1 §Data Service — endpoint URL row (dcat:endpointURL)"
"EL-DCATAP-DataService-endpointDescription","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://www.w3.org/ns/dcat#","dcat:endpointDescription","Data Service endpoint description","A description of endpoint operations parameters and other service-instance details.","dcat:DataService","rdfs:Resource","0..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Link technical API or endpoint documentation.","Optional and not constrained to a machine-processable interface-description format.","DCAT-AP 3.0.1 §Data Service — endpoint description row (dcat:endpointDescription)"
"EL-DCATAP-DataService-servesDataset","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://www.w3.org/ns/dcat#","dcat:servesDataset","Data Service serves dataset","A dataset that the data service can distribute.","dcat:DataService","dcat:Dataset","0..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Connect access services to the datasets they expose.","Optional and does not verify actual service coverage.","DCAT-AP 3.0.1 §Data Service — serves dataset row (dcat:servesDataset)"
"EL-DCATAP-Distribution-accessURL","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://www.w3.org/ns/dcat#","dcat:accessURL","Distribution access URL","A URL giving access to a dataset distribution or information on obtaining it.","dcat:Distribution","dcat:Resource","1..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Require an access location for every described distribution.","Existence of an IRI does not prove availability authorization or machine actionability.","DCAT-AP 3.0.1 §Distribution — access URL row (dcat:accessURL)"
"EL-DCATAP-Distribution-applicableLegislation","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://data.europa.eu/r5r/","dcatap:applicableLegislation","Distribution applicable legislation","Legislation mandating creation or management of the distribution.","dcat:Distribution","eli:LegalResource","0..*","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Link a distribution to governing creation or management legislation.","Assertion is descriptive and does not establish applicability legality or compliance.","DCAT-AP 3.0.1 §Distribution — applicable legislation row (dcatap:applicableLegislation)"
"EL-DCATAP-Distribution-hasPolicy","STD-DCATAP-3.0.1","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","http://www.w3.org/ns/odrl/2/","odrl:hasPolicy","Distribution ODRL policy","A policy expressing rights associated with the distribution when ODRL is used.","dcat:Distribution","odrl:Policy","0..1","NOT_APPLICABLE","NORMATIVE_PROFILE_CONSTRAINT","https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl","Attach a machine-readable permissions prohibitions and duties policy to a distribution.","The profile does not prove policy authority legal validity or enforcement and detailed interoperability needs an ODRL profile.","DCAT-AP 3.0.1 §Distribution — ODRL policy row (odrl:hasPolicy)"
"EL-HEALTHDCATAP-Dataset-accessRights","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://purl.org/dc/terms/","dct:accessRights","Health Dataset access rights","Indicates whether the health dataset is public restricted or non-public.","dcat:Dataset","dct:RightsStatement","1","http://publications.europa.eu/resource/authority/access-right/PUBLIC|RESTRICTED|NON_PUBLIC","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes.ttl","Require exactly one access-tier classification and validate the tier-specific value.","Three values are too coarse for detailed legal conditions and the draft assertion does not prove authorization.","HealthDCAT-AP Release 7 §Dataset.accessrights; tier-specific SHACL dct:accessRights constraints"
"EL-HEALTHDCATAP-Dataset-applicableLegislation","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://data.europa.eu/r5r/","dcatap:applicableLegislation","Health Dataset applicable legislation","Legislation mandating creation or management of the dataset.","dcat:Dataset","eli:LegalResource","1..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes.ttl","Require at least one legislation link for each health dataset.","Property semantics concern creation or management and cannot substitute for a reviewed legal-applicability assessment.","HealthDCAT-AP Release 7 §Dataset.applicablelegislation; SHACL Dataset applicableLegislation minimum count"
"EL-HEALTHDCATAP-Dataset-healthCategory","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:healthCategory","health category","The Article 51 health-data category to which the dataset belongs.","dcat:Dataset","skos:Concept","1..*","https://hdeu-dcat.acceptance.data.health.europa.eu/resource/authority/healthcategories","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/mdr-vocabularies.shape.ttl","Require at least one health-sector category for catalogue discovery and scope review.","Draft controlled vocabulary is hosted on an acceptance domain and category assignment remains a factual/legal judgment.","HealthDCAT-AP Release 7 §Dataset.healthcategory and controlled-vocabulary requirements"
"EL-HEALTHDCATAP-Dataset-hdab","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:hdab","health data access body","The health data access body responsible for providing access to the dataset.","dcat:Dataset","dct:Agent","1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes.ttl","Identify exactly one responsible HDAB and link it to required contact information.","A metadata assertion does not establish legal designation competence or current responsibility.","HealthDCAT-AP Release 7 §Dataset.hdab; SHACL HealthAgent_Shape"
"EL-HEALTHDCATAP-Dataset-hasStructuredData","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:hasStructuredData","structured data indicator","Indicates whether the dataset contains structured data for which variables can be described in machine-readable form.","dcat:Dataset","xsd:boolean","1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes.ttl","Trigger conditional variable-level metadata for structured datasets.","The boolean does not itself describe structure or prove that a negative value is substantively correct.","HealthDCAT-AP Release 7 §Dataset.structureddata; SHACL hasStructuredData datatype and count constraints"
"EL-HEALTHDCATAP-Dataset-hasVariables","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:hasVariables","variables description","Links the dataset to a CSVW TableGroup describing variables columns or fields.","dcat:Dataset","csvw:TableGroup","0..*; minimum 1 when healthdcatap:hasStructuredData=true","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_CONSTRAINT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes.ttl","Provide conditional machine-readable variable metadata for structured health data.","CSVW structure does not by itself express clinical semantics quality or legal sensitivity of each variable.","HealthDCAT-AP Release 7 §Dataset.variables; conditional sh:or constraint for hasStructuredData and hasVariables"
"EL-HEALTHDCATAP-Dataset-hasCodingSystem","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:hasCodingSystem","coding system","Identifies coding systems used in the health dataset.","dcat:Dataset","dct:Standard","0..*","https://hdeu-dcat.acceptance.data.health.europa.eu/resource/authority/coding-system/","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/mdr-vocabularies.shape.ttl","Identify clinical or health coding systems used by dataset values.","Optional and does not record version coverage local extensions or code-level correctness without additional metadata.","HealthDCAT-AP Release 7 §Dataset.codingSystem and controlled-vocabulary requirements"
"EL-HEALTHDCATAP-Dataset-numberOfRecords","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:numberOfRecords","number of records","The number of records contained in the dataset.","dcat:Dataset","xsd:nonNegativeInteger","0..1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes.ttl","Record a basic dataset-size measure.","Optional count has no counting method snapshot time or integrity proof and is not an Article 78 quality metric by itself.","HealthDCAT-AP Release 7 §Dataset.numberOfRecords; SHACL datatype and max-count constraint"
"EL-HEALTHDCATAP-Dataset-numberOfUniqueIndividuals","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:numberOfUniqueIndividuals","number of unique individuals","The number of unique individuals represented in the dataset.","dcat:Dataset","xsd:nonNegativeInteger","0..1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes_recommended.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes_recommended.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes_recommended.ttl","Record the represented-person count for scope and coverage review.","Optional count lacks identity-resolution method uncertainty snapshot time and disclosure-risk controls.","HealthDCAT-AP Release 7 §Dataset.numberofuniqueindividuals"
"EL-HEALTHDCATAP-Dataset-populationCoverage","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:populationCoverage","population coverage","Describes populations or demographic groups covered by the dataset.","dcat:Dataset","rdfs:Literal","0..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes_recommended.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes_recommended.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes_recommended.ttl","Describe represented population for discovery and representativeness assessment.","Free text has no denominator sampling method uncertainty or controlled demographic semantics and cannot establish representative coverage.","HealthDCAT-AP Release 7 §Dataset.populationcoverage"
"EL-HEALTHDCATAP-Dataset-retentionPeriod","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://healthdataportal.eu/ns/health#","healthdcatap:retentionPeriod","retention period","The period for which the health data is retained.","dcat:Dataset","dct:PeriodOfTime","0..1","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes_recommended.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes_recommended.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes_recommended.ttl","Record a dataset-level retention interval.","Does not state legal basis trigger deletion event exemptions or actual enforcement.","HealthDCAT-AP Release 7 §Dataset.retentionPeriod"
"EL-HEALTHDCATAP-Dataset-hasQualityAnnotation","STD-HEALTHDCATAP-7","Release 7","EU_DRAFT — European Commission Draft Specification","http://www.w3.org/ns/dqv#","dqv:hasQualityAnnotation","quality annotation","Links a dataset to associated quality annotations constrained by the draft profile to Quality Certificate resources.","dcat:Dataset","dqv:QualityCertificate","0..*","NOT_APPLICABLE","NORMATIVE_DRAFT_PROFILE_ELEMENT","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/range.ttl|https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl","Attach a quality certificate or annotation to a health dataset.","No Article 78 dimension metric value method unit timestamp provenance or legal sufficiency is supplied by this link alone.","HealthDCAT-AP Release 7 §Dataset.qualityannotation; Release 7 range.ttl dqv:hasQualityAnnotation range constraint"
"EL-PROVO-Entity","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:Entity","Entity","A physical digital conceptual or other thing with fixed aspects; it may be real or imaginary.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent a versioned dataset distribution document model or evidence object in provenance.","Entity typing does not prove identity integrity or evidential reliability.","PROV-O §3.1 Starting Point Terms — prov:Entity; https://www.w3.org/TR/2013/REC-prov-o-20130430/#Entity"
"EL-PROVO-Activity","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:Activity","Activity","Something occurring over time that acts upon or with entities including using transforming or generating them.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent collection cleaning annotation aggregation quality measurement or other data lifecycle events.","Generic activity typing does not establish that a legally required operation occurred or was adequate.","PROV-O §3.1 Starting Point Terms — prov:Activity; https://www.w3.org/TR/2013/REC-prov-o-20130430/#Activity"
